Id,Label,Title,DepartmentType,BusinessUnit,GenderCode,Performance Score
31,Emmanuel Franklin,Area Sales Manager,Sales,EW,Male,Fully Meets
32,Darius Krause,Area Sales Manager,Sales,NEL,Male,Fully Meets
33,Callum Mcdaniel,Area Sales Manager,Sales,SVG,Male,Fully Meets
34,Ronnie Mayer,Area Sales Manager,Sales,WBL,Male,Fully Meets
35,Marlon Ford,Area Sales Manager,IT/IS,EW,Female,Fully Meets
36,Slade Griffith,Area Sales Manager,Sales,MSC,Male,Fully Meets
37,Lee Frye,Area Sales Manager,Sales,TNS,Female,Fully Meets
38,Aaron Weber,Area Sales Manager,Sales,SVG,Male,Exceeds
39,Adriel Wiggins,Area Sales Manager,Sales,BPC,Female,Needs Improvement
40,Sanaa Glass,Area Sales Manager,Sales,WBL,Female,Fully Meets
41,Ryan Lynch,Area Sales Manager,Sales,TNS,Female,Fully Meets
42,Harper Ramos,Area Sales Manager,Sales,PL,Male,Needs Improvement
43,Wilson K Adinolfi,Production Technician I,Production       ,NEL,Male,Fully Meets
44,Joanne Handschiegl,Production Technician I,Production       ,MSC,Female,Exceeds
45,Jean Crimmings,Production Technician I,Production       ,CCDR,Female,Exceeds
46,Nore Sadki,Production Technician I,Production       ,WBL,Male,PIP
47,Kramer Keatts,Production Technician I,Production       ,WBL,Male,Fully Meets
48,Nader Barton,Production Technician I,Production       ,EW,Male,Fully Meets
49,Marilyn Linares,Production Technician I,Production       ,NEL,Female,Fully Meets
50,Jennifer Medeiros,Production Technician I,Production       ,NEL,Female,Exceeds
51,Anna Von Massenbach,Production Technician I,Production       ,WBL,Female,Fully Meets
52,Angela Erilus,Production Technician II,Production       ,PL,Female,Exceeds
53,Davion Sanchez,Production Technician I,Production       ,PYZ,Male,Fully Meets
54,Orlando Armstrong,Production Technician I,Production       ,BPC,Female,Fully Meets
55,Edward Everett,Production Technician I,Production       ,CCDR,Female,Fully Meets
56,Jaqueline Terrell,Production Technician I,Production       ,EW,Female,Fully Meets
57,Selena Greer,Production Technician I,Production       ,NEL,Male,Fully Meets
58,Dominik Mullen,Production Technician I,Production       ,PYZ,Male,Fully Meets
59,Andre Guzman,Production Technician I,Production       ,TNS,Male,Fully Meets
60,Brayden Malone,Production Technician I,Production       ,WBL,Male,Fully Meets
61,Kellen Medina,Production Technician I,Production       ,NEL,Male,Needs Improvement
62,Derick Rocha,Production Technician II,Production       ,SVG,Female,Needs Improvement
63,Keagan Henson,Production Technician II,Production       ,BPC,Female,Fully Meets
64,Kane Owen,Production Technician II,Production       ,MSC,Female,Needs Improvement
65,Clarissa Winters,Production Technician I,Production       ,SVG,Male,Fully Meets
66,Frankie Atkins,Production Technician I,Production       ,EW,Male,Fully Meets
67,Kayleigh Harmon,Production Technician I,Production       ,TNS,Female,Fully Meets
68,Kayley Myers,Production Technician I,Production       ,PYZ,Female,Fully Meets
69,Rowan Cobb,Production Technician I,Production       ,WBL,Female,Fully Meets
70,Ruben Lewis,Production Technician I,Production       ,SVG,Female,Fully Meets
71,Bailey Collier,Production Technician I,Production       ,EW,Female,Fully Meets
72,Karissa Bowers,Production Technician I,Production       ,TNS,Male,Fully Meets
73,Victoria Franco,Production Technician I,Production       ,WBL,Male,Fully Meets
74,Jocelyn Kline,Production Technician II,Production       ,EW,Female,Fully Meets
75,Ruth Harrell,Production Technician II,Production       ,WBL,Female,Fully Meets
76,Reginald Lowery,Production Technician I,Production       ,NEL,Male,Fully Meets
77,Stephanie Briggs,Production Technician I,Production       ,MSC,Male,Fully Meets
78,Shaniya Becker,Production Technician I,Production       ,EW,Male,Fully Meets
79,Ryan Oconnell,Production Technician I,Production       ,CCDR,Male,Fully Meets
80,Keyon Haley,Production Technician I,Production       ,PYZ,Female,Fully Meets
81,Abdullah Pruitt,Production Technician I,Production       ,PL,Male,Fully Meets
82,Jaylen Acosta,Production Technician I,Production       ,CCDR,Female,Fully Meets
83,Kiersten Ellis,Production Technician I,Production       ,EW,Male,Fully Meets
84,Karissa Carrillo,Production Technician I,Production       ,MSC,Male,Fully Meets
85,Issac Whitehead,Production Technician I,Production       ,TNS,Male,Fully Meets
86,Madisyn Andrews,Production Technician I,Production       ,PYZ,Male,Fully Meets
87,Madyson Rhodes,Production Technician I,Production       ,WBL,Male,Fully Meets
88,Brenton Rodriguez,Production Technician II,Production       ,SVG,Female,Fully Meets
89,Keyon Hensley,Production Technician II,Production       ,MSC,Female,Exceeds
90,Jeremy Meyer,Production Technician II,Production       ,WBL,Female,Fully Meets
91,Martha Kemp,Production Technician I,Production       ,SVG,Male,Fully Meets
92,Lorelei Walls,Production Technician I,Production       ,WBL,Female,Fully Meets
93,Aron Hester,Production Technician I,Production       ,EW,Male,Exceeds
94,Brandon Anderson,Production Technician I,Production       ,PL,Female,Exceeds
95,Davin Peters,Production Technician I,Production       ,TNS,Male,Fully Meets
96,Victoria Allen,Production Technician I,Production       ,BPC,Male,Needs Improvement
97,Sandra Atkinson,Production Technician II,Production       ,SVG,Female,Needs Improvement
98,Rhett Valenzuela,Production Technician II,Production       ,MSC,Female,Fully Meets
99,Mario Mays,Production Technician II,Production       ,CCDR,Female,Fully Meets
100,Dayami Bailey,Production Technician I,Production       ,CCDR,Male,Fully Meets
101,Ramon Fleming,Production Technician I,Production       ,SVG,Male,Fully Meets
102,Pedro Harrison,Production Technician I,Production       ,EW,Male,Fully Meets
103,Harrison Hudson,Production Technician I,Production       ,MSC,Female,Fully Meets
104,Kylie Jimenez,Production Technician I,Production       ,PL,Male,Fully Meets
105,Carly Figueroa,Production Technician I,Production       ,BPC,Male,Exceeds
106,Brynn Harding,Production Technician I,Production       ,SVG,Female,Exceeds
107,Chace Church,Production Technician I,Production       ,TNS,Male,Needs Improvement
108,Julien Banks,Production Technician II,Production       ,WBL,Female,PIP
109,Jake White,Production Technician I,Production       ,BPC,Male,Fully Meets
110,Chaim Chase,Production Technician II,Production       ,SVG,Female,Fully Meets
111,Keshawn Le,Production Technician II,Production       ,EW,Female,Fully Meets
112,Cannon Hester,Production Technician II,Production       ,TNS,Female,Fully Meets
113,Crystal Brandt,Production Technician II,Production       ,PYZ,Female,Fully Meets
114,Johnny Goodman,Production Technician I,Production       ,NEL,Male,Fully Meets
115,Nehemiah Hancock,Production Technician I,Production       ,PL,Male,Fully Meets
116,Averi Stevenson,Production Technician I,Production       ,EW,Female,Fully Meets
117,Skyler Blankenship,Production Technician I,Production       ,NEL,Female,Fully Meets
118,Jordan Davis,Production Technician I,Production       ,PL,Male,Fully Meets
119,Bridget Wu,Production Technician I,Production       ,BPC,Male,Fully Meets
120,Kayden Soto,Production Technician I,Production       ,EW,Female,Fully Meets
121,Arthur Mitchell,Production Technician I,Production       ,TNS,Male,Fully Meets
122,Arielle Potts,Production Technician I,Production       ,NEL,Male,Fully Meets
123,Maxwell Howell,Production Technician I,Production       ,PL,Female,Fully Meets
124,Gabriella Warner,Production Technician I,Production       ,EW,Male,Fully Meets
125,Hazel Vincent,Production Technician II,Production       ,CCDR,Female,Fully Meets
126,Giancarlo Cross,Production Technician II,Production       ,EW,Female,Fully Meets
127,Morgan Blackwell,Production Technician I,Production       ,SVG,Female,Fully Meets
128,Ivan Wright,Production Technician I,Production       ,PYZ,Male,Fully Meets
129,Ramiro Savage,Production Technician I,Production       ,CCDR,Male,Fully Meets
130,Jacqueline Hendrix,Production Technician I,Production       ,WBL,Male,Fully Meets
131,Semaj Griffith,Production Technician I,Production       ,SVG,Male,Fully Meets
132,Hezekiah Cummings,Production Technician I,Production       ,NEL,Male,Fully Meets
133,Aaliyah Watts,Production Technician I,Production       ,EW,Male,Fully Meets
134,Maxim Houston,Production Technician II,Production       ,TNS,Female,Fully Meets
135,Bentley Rush,Production Technician I,Production       ,WBL,Female,Fully Meets
136,Alexia Pham,Production Technician I,Production       ,NEL,Male,Fully Meets
137,Roselyn Roberts,Production Technician I,Production       ,PL,Male,Fully Meets
138,Ayden Chambers,Production Technician I,Production       ,BPC,Male,Fully Meets
139,Maria Grant,Production Technician I,Production       ,EW,Female,Fully Meets
140,Bryanna Ibarra,Production Technician I,Production       ,MSC,Male,Fully Meets
141,Amiyah Ramirez,Production Technician I,Production       ,NEL,Male,Fully Meets
142,Kai Holt,Production Technician I,Production       ,PL,Female,Fully Meets
143,Maria Gonzalez,IT Support,IT/IS,PYZ,Female,Fully Meets
144,Sarah Warfield,Sr. Network Engineer,IT/IS,BPC,Female,Fully Meets
145,Jyoti Lajiri,Sr. Network Engineer,IT/IS,EW,Male,Fully Meets
146,Linda Dolan,IT Support,IT/IS,CCDR,Female,Needs Improvement
147,Anita Shepard,Network Engineer,IT/IS,EW,Female,Fully Meets
148,Derek Holmes,IT Support,IT/IS,SVG,Male,Fully Meets
149,Sabrina Durham,IT Support,IT/IS,PL,Male,Fully Meets
150,Quintin Solomon,Sr. Network Engineer,IT/IS,PL,Male,Fully Meets
151,Jaqueline Pittman,Sr. Network Engineer,IT/IS,BPC,Male,Exceeds
152,Tanya Leonard,IT Support,IT/IS,CCDR,Female,PIP
153,Meadow Boyer,Sr. Network Engineer,IT/IS,BPC,Male,Fully Meets
154,Paris Simpson,Principal Data Architect,IT/IS,CCDR,Male,Fully Meets
155,Cassidy Maddox,Sr. DBA,IT/IS,EW,Female,Fully Meets
156,Jaiden Underwood,Network Engineer,Executive Office,WBL,Male,PIP
157,Eugene Potts,IT Support,IT/IS,NEL,Male,Fully Meets
158,Bailey Humphrey,IT Support,IT/IS,PYZ,Male,Fully Meets
159,Tiffany Washington,Enterprise Architect,IT/IS,SVG,Female,Needs Improvement
160,Kaeden Vargas,Network Engineer,Executive Office,TNS,Male,Fully Meets
161,Lena Sandoval,Network Engineer,Executive Office,PYZ,Male,Fully Meets
162,Kamari Mcgrath,IT Support,IT/IS,BPC,Female,Fully Meets
163,Oscar Lopez,Network Engineer,Executive Office,MSC,Male,PIP
164,Noemi Brewer,IT Support,IT/IS,BPC,Female,Fully Meets
165,Karlie Drake,Principal Data Architect,IT/IS,PL,Female,Fully Meets
166,Maxwell Mcpherson,Network Engineer,IT/IS,CCDR,Male,Fully Meets
167,Yesenia Nielsen,IT Support,IT/IS,MSC,Female,Fully Meets
168,Myah Marsh,IT Support,IT/IS,NEL,Female,Fully Meets
169,Abel Baker,Principal Data Architect,IT/IS,CCDR,Female,Fully Meets
170,Hezekiah Thompson,Network Engineer,IT/IS,TNS,Male,Fully Meets
171,Alayna Hess,Network Engineer,IT/IS,WBL,Female,Fully Meets
172,Maribel Copeland,Sr. Network Engineer,IT/IS,PL,Male,Needs Improvement
173,Chris Vincent,Network Engineer,IT/IS,PYZ,Female,Exceeds
174,Myah Waller,Network Engineer,IT/IS,WBL,Female,Fully Meets
175,Yaritza Sherman,IT Support,IT/IS,NEL,Female,Fully Meets
176,Kaitlin Hickman,IT Support,IT/IS,CCDR,Female,Fully Meets
177,Walter Zuniga,Sr. Network Engineer,IT/IS,NEL,Male,Fully Meets
178,Jeffery Gamble,Sr. Network Engineer,IT/IS,BPC,Female,Needs Improvement
179,Ari Anthony,IT Support,IT/IS,EW,Female,Fully Meets
180,Arjun Tyler,IT Support,IT/IS,PL,Male,Fully Meets
181,Karthikeyan Ait Sidi,Sr. DBA,IT/IS,EW,Male,Fully Meets
182,Julia Zhou,Data Analyst,IT/IS,SVG,Female,Fully Meets
183,Renee Becker,Database Administrator,IT/IS,EW,Female,Fully Meets
184,Randall Pearson,Data Analyst,IT/IS,MSC,Male,Fully Meets
185,Kramer Simard,Data Analyst,IT/IS,EW,Male,Fully Meets
186,Mark Griffith,Data Analyst,IT/IS,BPC,Female,Fully Meets
187,Draven Giles,Database Administrator,IT/IS,SVG,Female,Fully Meets
188,Mohammed Orr,Database Administrator,IT/IS,TNS,Female,PIP
189,Braylen Mendoza,Data Architect,IT/IS,PYZ,Male,Fully Meets
190,Andreas Torres,CIO,IT/IS,WBL,Male,Fully Meets
191,Maddison Perez,BI Director,IT/IS,NEL,Male,Fully Meets
192,Lewis Nixon,Database Administrator,IT/IS,PL,Female,Exceeds
193,Macy Webster,Database Administrator,IT/IS,PYZ,Female,Exceeds
194,Zander Franco,Data Architect,IT/IS,BPC,Male,Exceeds
195,Gordon Wu,Sr. Accountant,IT/IS,TNS,Female,Fully Meets
196,Carmen Atkins,Data Analyst,IT/IS,PL,Female,Exceeds
197,Kaylie Velazquez,Database Administrator,IT/IS,SVG,Female,Exceeds
198,Christine Skinner,Database Administrator,IT/IS,EW,Female,Fully Meets
199,Aydan Benjamin,Data Architect,IT/IS,PYZ,Male,Exceeds
200,Talan Rodgers,Sr. Accountant,IT/IS,BPC,Male,Fully Meets
201,Evelin Snow,Data Analyst,IT/IS,SVG,Male,Fully Meets
202,Sienna Preston,Data Analyst,IT/IS,PYZ,Female,Fully Meets
203,Taylor Dennis,Data Analyst,IT/IS,PL,Female,Fully Meets
204,Leonel Combs,Database Administrator,IT/IS,MSC,Female,Fully Meets
205,Ace Krause,Database Administrator,IT/IS,CCDR,Female,Fully Meets
206,Reuben Davila,Database Administrator,IT/IS,BPC,Male,Exceeds
207,Angelique Mann,Data Architect,IT/IS,PYZ,Male,Fully Meets
208,Jasmin Shah,Software Engineer,Software Engineering,PYZ,Male,Fully Meets
209,Kole Quinn,Shared Services Manager,Software Engineering,WBL,Male,Fully Meets
210,Julien Whitehead,Senior BI Developer,Admin Offices,BPC,Female,Fully Meets
211,Kelvin Foster,Software Engineer,Software Engineering,MSC,Female,Fully Meets
212,Joe Fletcher,Software Engineer,Software Engineering,TNS,Male,Fully Meets
213,Joanna Murphy,Senior BI Developer,Admin Offices,CCDR,Male,Fully Meets
214,Blaine Brooks,Shared Services Manager,Software Engineering,WBL,Male,Fully Meets
215,Zoe Colon,Software Engineer,Software Engineering,CCDR,Male,Fully Meets
216,Camden Kelly,Software Engineer,Software Engineering,TNS,Male,Fully Meets
217,Blaine Keith,Shared Services Manager,Software Engineering,NEL,Female,Fully Meets
218,Phillip Salazar,Software Engineer,Software Engineering,PL,Male,Fully Meets
219,Chaz Webb,Software Engineer,Software Engineering,PYZ,Female,Fully Meets
220,Sophie Decker,Software Engineer,Software Engineering,TNS,Male,Fully Meets
221,Kelsie Mccormick,Software Engineer,Software Engineering,BPC,Female,Fully Meets
222,Frida Livingston,Shared Services Manager,Software Engineering,CCDR,Female,Fully Meets
223,Sean Bean,Software Engineer,Software Engineering,CCDR,Male,Fully Meets
224,Salvador Thomas,Software Engineer,Software Engineering,EW,Male,Fully Meets
225,Joanna Burnett,Shared Services Manager,Software Engineering,WBL,Female,Fully Meets
226,Abdullah Frederick,Shared Services Manager,Software Engineering,NEL,Male,Fully Meets
227,Iliana Randall,Software Engineer,Software Engineering,NEL,Female,Fully Meets
228,Madelyn Lambert,Software Engineer,Software Engineering,PYZ,Male,Fully Meets
229,Taylor Gamble,Shared Services Manager,Software Engineering,CCDR,Female,Fully Meets
230,Sophia Theamstern,Production Technician I,Production       ,PYZ,Female,Fully Meets
231,Ming Huynh,Production Technician II,Production       ,EW,Female,Fully Meets
232,Shakira Perry,Production Technician I,Production       ,PL,Female,Fully Meets
233,Barry Wilber,Production Technician I,Production       ,TNS,Male,Fully Meets
234,Ryker Logan,Production Technician I,Production       ,SVG,Male,Fully Meets
235,Isabela Collins,Production Manager,Production       ,EW,Female,Fully Meets
236,Giuliana Farmer,Production Manager,Production       ,NEL,Female,Fully Meets
237,Pierce Robbins,Production Manager,Production       ,PL,Female,Fully Meets
238,Axel Hart,Production Technician II,Production       ,PL,Male,Fully Meets
239,Raymond Ayers,Production Technician I,Production       ,NEL,Female,Fully Meets
240,Kirsten Vance,Production Technician I,Production       ,PYZ,Female,Fully Meets
241,Cade Cox,Production Technician I,Production       ,WBL,Female,Fully Meets
242,Elianna Schmitt,Production Manager,Production       ,PL,Female,Fully Meets
243,Autumn Barrera,Production Technician II,Production       ,TNS,Male,Fully Meets
244,Ernest Willis,Production Technician II,Production       ,PYZ,Female,Fully Meets
245,Yahir Serrano,Production Technician I,Production       ,MSC,Female,Fully Meets
246,Jadyn Haley,Production Technician I,Production       ,CCDR,Female,Fully Meets
247,Francisco Simon,Production Technician I,Production       ,PL,Male,Fully Meets
248,Chaya Boyd,Production Technician I,Production       ,SVG,Male,Fully Meets
249,Wyatt Spence,Production Technician I,Production       ,WBL,Female,Fully Meets
250,Isiah Decker,Production Manager,Production       ,BPC,Female,Fully Meets
251,Camryn Guerra,Production Technician II,Production       ,NEL,Female,Fully Meets
252,Melody Rollins,Production Technician II,Production       ,PL,Female,Fully Meets
253,Jaylen Serrano,Production Technician II,Production       ,CCDR,Female,Fully Meets
254,Carlie Wilkerson,Production Technician I,Production       ,EW,Male,Fully Meets
255,Kaylyn Patrick,Production Technician I,Production       ,BPC,Female,Fully Meets
256,Madeleine Sherman,Production Technician I,Production       ,PYZ,Male,Fully Meets
257,Allan Butler,Production Technician I,Production       ,SVG,Male,Fully Meets
258,Aydin Tate,Production Technician I,Production       ,BPC,Female,Fully Meets
259,Milagros Foley,Production Manager,Production       ,EW,Female,Fully Meets
260,Rigoberto Townsend,Production Manager,Production       ,NEL,Female,Fully Meets
261,Roy Morse,Production Technician II,Production       ,NEL,Female,Fully Meets
262,Rafael Buchanan,Production Technician II,Production       ,PL,Female,Fully Meets
263,Kaitlynn Herman,Production Technician II,Production       ,BPC,Female,Fully Meets
264,Marquise Santana,Production Technician II,Production       ,CCDR,Female,Fully Meets
265,Carlee Foley,Production Technician I,Production       ,BPC,Female,Fully Meets
266,Kamari Holloway,Production Technician I,Production       ,WBL,Female,Fully Meets
267,Caylee Nunez,Production Technician II,Production       ,EW,Female,Fully Meets
268,Jaliyah Gamble,Production Technician II,Production       ,NEL,Female,Fully Meets
269,Dayton Castro,Production Technician I,Production       ,SVG,Male,Fully Meets
270,Jaquan Rowland,Production Technician I,Production       ,WBL,Female,Fully Meets
271,Abbigail Cameron,Production Manager,Production       ,MSC,Female,Fully Meets
272,Aliana Pena,Production Technician II,Production       ,PL,Female,Fully Meets
273,Ramon Goodwin,Production Technician II,Production       ,BPC,Female,Fully Meets
274,Reuben Potter,Production Technician I,Production       ,WBL,Female,Fully Meets
275,Iris Bruce,Production Technician I,Production       ,BPC,Male,Fully Meets
276,Sarahi Burke,Production Technician I,Production       ,MSC,Female,Fully Meets
277,Jerimiah Jackson,Production Technician I,Production       ,BPC,Female,Fully Meets
278,Alyvia Sellers,Production Technician II,Production       ,WBL,Female,Fully Meets
279,Kyle Sanders,Production Technician I,Production       ,WBL,Female,Fully Meets
280,Barrett Jennings,Production Technician I,Production       ,NEL,Female,Fully Meets
281,Darius Koch,Production Technician I,Production       ,PL,Female,Fully Meets
282,Kolton Dawson,Production Technician I,Production       ,BPC,Male,Fully Meets
283,Ciara Cole,Production Technician I,Production       ,CCDR,Male,Fully Meets
284,Virginia Wallace,Production Technician I,Production       ,SVG,Female,Fully Meets
285,Elyse Pratt,Production Technician I,Production       ,MSC,Female,Fully Meets
286,Yahir Hill,Production Technician I,Production       ,TNS,Female,Fully Meets
287,Lillie Leblanc,Production Manager,Production       ,PL,Female,Fully Meets
288,Lucas Good,Production Technician II,Production       ,EW,Female,Fully Meets
289,Malachi Singleton,Production Technician II,Production       ,PL,Female,Fully Meets
290,Taniya Stafford,Production Technician I,Production       ,CCDR,Female,Fully Meets
291,Cherish Preston,Production Technician I,Production       ,EW,Female,Fully Meets
292,Briley Hanson,Production Technician I,Production       ,MSC,Male,Fully Meets
293,Daniel Griffin,Production Technician I,Production       ,PL,Female,Fully Meets
294,Janiyah Ballard,Production Technician I,Production       ,SVG,Female,Fully Meets
295,Annika Malone,Production Technician I,Production       ,TNS,Female,Fully Meets
296,Lawrence Cross,Production Technician I,Production       ,CCDR,Female,Fully Meets
297,Emery Schmidt,Production Technician II,Production       ,PYZ,Female,Fully Meets
298,Tia Atkins,Production Technician II,Production       ,BPC,Female,Fully Meets
299,Aliana Pennington,Production Technician I,Production       ,TNS,Female,Fully Meets
300,Estrella Benitez,Production Technician I,Production       ,PYZ,Female,Fully Meets
301,Dexter Cline,Production Technician I,Production       ,BPC,Male,Fully Meets
302,Atticus Frost,Production Technician I,Production       ,CCDR,Female,Fully Meets
303,Emmalee Reynolds,Production Technician I,Production       ,EW,Female,Fully Meets
304,Irene Melton,Production Technician I,Production       ,TNS,Female,Fully Meets
305,Marcel Gomez,Production Technician I,Production       ,WBL,Female,Fully Meets
306,Janet King,President & CEO,Executive Office,CCDR,Female,Fully Meets
307,Estelle Howard,Administrative Assistant,Admin Offices,WBL,Female,Fully Meets
308,William LaRotonda,Accountant I,Admin Offices,TNS,Male,Fully Meets
309,Mia Brown,Accountant I,Admin Offices,TNS,Female,Fully Meets
310,Skyler Robles,Sr. Network Engineer,IT/IS,NEL,Male,Fully Meets
311,Makenna Newton,Software Engineer,Software Engineering,NEL,Female,Fully Meets
312,Amiyah Sims,Software Engineering Manager,Software Engineering,CCDR,Female,Fully Meets
313,Seth Alvarez,Sr. Network Engineer,Admin Offices,PYZ,Male,Fully Meets
314,Haleigh Carter,Sr. Network Engineer,IT/IS,NEL,Male,Fully Meets
315,Lily Tyler,Sr. Network Engineer,Admin Offices,PYZ,Male,Fully Meets
316,Christina Terry,Software Engineering Manager,Software Engineering,WBL,Female,Fully Meets
317,Jairo Blanchard,Accountant I,Admin Offices,TNS,Male,Fully Meets
318,Immanuel Goodwin,Sr. Network Engineer,IT/IS,CCDR,Male,PIP
319,Elle Berry,Sr. Accountant,Admin Offices,BPC,Female,Exceeds
320,Hadley Barrett,Accountant I,Admin Offices,EW,Female,PIP
321,Shea Novak,Administrative Assistant,Sales,CCDR,Female,Exceeds
322,Frankie Davenport,Accountant I,Admin Offices,MSC,Male,Exceeds
323,Luca Francis,Sr. Accountant,Admin Offices,PYZ,Female,Exceeds
324,Larissa Douglas,Administrative Assistant,Admin Offices,SVG,Female,Exceeds
325,Karla Farrell,Administrative Assistant,Admin Offices,CCDR,Female,PIP
326,Jacey Braun,Accountant I,Admin Offices,EW,Female,Exceeds
327,Nathan Kline,Accountant I,Admin Offices,MSC,Male,PIP
328,Gabriella Benitez,Accountant I,Admin Offices,TNS,Female,Exceeds
329,Juan Gonzalez,Production Technician II,Production       ,NEL,Male,Exceeds
330,Shari Ngodup,Production Technician I,Production       ,SVG,Female,Exceeds
331,Debbie Mangal,Production Technician I,Production       ,PYZ,Female,Needs Improvement
332,Helen Billis,Production Technician I,Production       ,BPC,Female,Needs Improvement
333,Yen Johnston,Production Technician II,Production       ,NEL,Female,Exceeds
334,Linda Bachiochi,Production Technician I,Production       ,MSC,Female,Exceeds
335,Jennifer Cloninger,Production Technician II,Production       ,PYZ,Female,Exceeds
336,Rory Stone,Production Technician I,Production       ,MSC,Female,Exceeds
337,Ann Montgomery,Production Technician I,Production       ,TNS,Male,Needs Improvement
338,Erin Holder,Production Technician I,Production       ,BPC,Male,Exceeds
339,Edward Love,Production Technician I,Production       ,EW,Male,Exceeds
340,Shania Bauer,Production Technician I,Production       ,PL,Female,Exceeds
341,Bennett Bowen,Production Technician I,Production       ,SVG,Female,Exceeds
342,Gianna Lopez,Production Technician I,Production       ,TNS,Female,Needs Improvement
343,Azaria Young,Production Technician I,Production       ,WBL,Female,Needs Improvement
344,Antoine Schaefer,Production Technician I,Production       ,CCDR,Female,Needs Improvement
345,Milagros Cobb,Production Technician I,Production       ,EW,Female,Exceeds
346,Kaley Ali,Production Technician II,Production       ,TNS,Female,Exceeds
347,Tyrese Goodman,Production Technician II,Production       ,TNS,Female,Needs Improvement
348,Alonso Williams,Production Technician I,Production       ,PL,Female,Needs Improvement
349,Kamila Rosales,Production Technician I,Production       ,PYZ,Female,Exceeds
350,Anabel Evans,Production Technician I,Production       ,CCDR,Female,Exceeds
351,Dustin Beasley,Production Technician I,Production       ,NEL,Female,Exceeds
352,Dean Winters,Production Technician I,Production       ,PL,Female,Exceeds
353,Karina Mccarthy,Production Technician II,Production       ,SVG,Male,Exceeds
354,Ruben Kirby,Production Technician II,Production       ,EW,Female,Exceeds
355,Frida Wilkins,Production Technician I,Production       ,CCDR,Female,Exceeds
356,Blaine Rose,Production Technician I,Production       ,EW,Female,Exceeds
357,Ignacio Wiley,Production Technician I,Production       ,WBL,Female,Exceeds
358,Lorena Mahoney,Production Technician I,Production       ,NEL,Female,Exceeds
359,Soren Merritt,Production Technician I,Production       ,BPC,Female,Fully Meets
360,Annie Peters,Production Technician I,Production       ,SVG,Female,Fully Meets
361,Juliana Schroeder,Production Technician II,Production       ,EW,Female,Fully Meets
362,Izabella Barron,Production Technician II,Production       ,TNS,Male,Fully Meets
363,Abigayle Mccann,Production Technician I,Production       ,CCDR,Female,Fully Meets
364,Abagail Banks,Production Technician I,Production       ,MSC,Male,Fully Meets
365,Guillermo Rose,Production Technician I,Production       ,PYZ,Female,Needs Improvement
366,Evelin Sellers,Production Technician I,Production       ,PL,Female,Fully Meets
367,Marlee Mathis,Production Technician I,Production       ,CCDR,Female,Fully Meets
368,Jonathon Thompson,Production Technician I,Production       ,EW,Female,Fully Meets
369,Richard Nelson,Production Technician II,Production       ,TNS,Male,Fully Meets
370,Camille Livingston,Production Technician I,Production       ,BPC,Female,Fully Meets
371,Lilianna Colon,Production Technician I,Production       ,CCDR,Female,Fully Meets
372,Amara Castillo,Production Technician I,Production       ,EW,Male,Fully Meets
373,Joel Eaton,Production Technician I,Production       ,MSC,Male,Fully Meets
